t,x1,x2,x3,b,r,
0.1,-22.108015339684,-13.414560891481,51.444995829873,2.400001,28.,
0.2,-3.4733564274408,13.801809756555,37.600957088984,2.400001,28.,
0.3,6.7707105905174,11.252762386767,32.733911851002,2.400001,28.,
0.4,7.9428262194528,6.8226782945563,31.922714522214,2.400001,28.,
0.5,6.2334345727875,4.5355132917106,28.532344563013,2.400001,28.,
0.6,5.1750186598613,4.8543496694562,24.686234222537,2.400001,28.,
0.7,5.615549357933,6.7977998215196,22.124041607202,2.400001,28.,
0.8,7.4664599464075,9.897840149636,22.25109375596,2.400001,28.,
0.9,9.9976705046302,12.177291193894,26.411152981087,2.400001,28.,
1.,10.742626610548,9.708812949537,31.511665787789,2.400001,28.,
1.1,8.3522038120346,5.2564016670514,31.097990571312,2.400001,28.,
1.2,5.7311839712457,3.9071549925835,27.10739982459,2.400001,28.,
1.3,4.8736106637377,4.9413383157793,23.280674204422,2.400001,28.,
1.4,5.7658469821958,7.4473561729964,21.16529226562,2.400001,28.,
1.5,8.1237237864377,11.009571366159,22.391673590031,2.400001,28.,
1.6,10.780588093962,12.572738929667,28.078857915337,2.400001,28.,
1.7,10.58477307356,8.3302630570102,32.636363016981,2.400001,28.,
1.8,7.394432098517,4.0720842672506,30.422731183927,2.400001,28.,
1.9,4.9511488215211,3.5420531305645,25.824449776967,2.400001,28.,
2.,4.5350314003267,5.0366809046898,22.018072436859,2.400001,28.,
2.1,5.8644649358339,8.0062882370212,20.269687151326,2.400001,28.,
2.2,8.6963292212973,12.0070889122,22.523146740428,2.400001,28.,
2.3,11.426999497445,12.761038876091,29.591379403376,2.400001,28.,
2.4,10.319157063999,7.0275001641932,33.382059963287,2.400001,28.,
2.5,6.5423775495815,3.12420558785,29.772708272189,2.400001,28.,
2.6,4.2613619720889,3.1409888049783,24.762440793648,2.400001,28.,
2.7,4.1260287895726,4.8889770710491,20.890203829917,2.400001,28.,
2.8,5.7305022488637,8.191390597835,19.239472354359,2.400001,28.,
2.9,8.9643566492905,12.738251179477,22.097107652853,2.400001,28.,
3.,11.978365085628,13.215692006519,30.487412422853,2.400001,28.,
3.1,10.30344563628,6.2000262061541,34.145746849561,2.400001,28.,
3.2,5.9548767841624,2.2727478519986,29.586511940366,2.400001,28.,
3.3,3.5959509098163,2.4949499348752,24.152899582658,2.400001,28.,
3.4,3.4699576446876,4.2137037635713,19.986187360141,2.400001,28.,
3.5,5.0434889140611,7.4981725113963,17.881643767248,2.400001,28.,
3.6,8.4507159869822,12.696566732185,20.185150095614,2.400001,28.,
3.7,12.345838371112,14.692215989202,29.632282122311,2.400001,28.,
3.8,11.163146782477,6.681856522277,35.451689593017,2.400001,28.,
3.9,6.0048413050043,1.4383985016776,30.586636660992,2.400001,28.,
4.,2.9763389934716,1.3935388483313,24.50922351494,2.400001,28.,
4.1,2.4144704295169,2.6977483353621,19.726000113377,2.400001,28.,
4.2,3.4078228302576,5.1493692157648,16.493390147901,2.400001,28.,
4.3,6.1256658862916,9.9601120806798,16.1309001181,2.400001,28.,
4.4,10.947381764387,16.156432306944,23.021219779573,2.400001,28.,
4.5,13.605248708283,12.063634620977,35.747192935721,2.400001,28.,
4.6,8.4191590406614,1.6454741428489,34.658183880648,2.400001,28.,
4.7,3.113465239976,-0.330196940964,27.397323742118,2.400001,28.,
4.8,1.1419376181477,0.28134574776306,21.534927109784,2.400001,28.,
4.9,0.86236545553711,1.0190688083912,16.991767405768,2.400001,28.,
5.,1.3597389241001,2.2291554028757,13.519433529889,2.400001,28.,
5.1,2.8080480050469,5.0184275139063,11.283654509964,2.400001,28.,
5.2,6.3186461183392,11.441473866285,12.15050475556,2.400001,28.,
5.3,12.942641911694,19.926282372678,23.840921264249,2.400001,28.,
5.4,14.787835004343,9.3438728172398,40.751604585896,2.400001,28.,
5.5,5.9761344464366,-2.6953014998412,34.321088890959,2.400001,28.,
5.6,0.10911602575588,-3.2778822176265,26.293197038373,2.400001,28.,
5.7,-2.0546855843237,-3.549370116415,21.029416438331,2.400001,28.,
5.8,-3.6550978187847,-5.6313708223489,17.693721852411,2.400001,28.,
5.9,-6.4344025436788,-10.163767134843,17.432281273108,2.400001,28.,
6.,-10.903549876472,-15.487911942665,24.051592060398,2.400001,28.,
6.1,-13.016215695029,-11.380961158705,35.05113812508,2.400001,28.,
6.2,-8.3293962546206,-2.3237334230694,33.911192244281,2.400001,28.,
6.3,-3.593577930162,-0.50297871188054,27.201864051477,2.400001,28.,
6.4,-1.8891255834073,-1.2860950046649,21.576198807364,2.400001,28.,
6.5,-1.9824789513413,-2.6840075413781,17.291180920432,2.400001,28.,
6.6,-3.3298253174499,-5.4374769997558,14.529173228413,2.400001,28.,
6.7,-6.5616791792169,-11.105343753418,15.021273892858,2.400001,28.,
6.8,-12.123458048326,-17.739985735027,24.513752733376,2.400001,28.,
6.9,-13.839324382769,-10.092132991967,38.087976373011,2.400001,28.,
7.,-6.997543146739,0.33300983339209,33.943194835658,2.400001,28.,
7.1,-1.7789794978914,1.3352049154439,26.311320041647,2.400001,28.,
7.2,3.7685185630039e-002,0.98433222712384,20.627110754557,2.400001,28.,
7.3,0.70822206976263,1.2887092439697,16.267117730511,2.400001,28.,
7.4,1.4709809470882,2.5407698462484,12.976943380646,2.400001,28.,
7.5,3.1713870984962,5.7285216734731,11.034454453331,2.400001,28.,
7.6,7.1779763625836,12.91973400068,12.911380120607,2.400001,28.,
7.7,14.019500199612,20.195761758226,27.180629405744,2.400001,28.,
7.8,13.766002103649,6.2373744418623,41.02264284949,2.400001,28.,
7.9,4.633738191364,-3.1744126580518,32.795719218866,2.400001,28.,
8.,-0.42732551853875,-3.279020380979,25.321707040266,2.6999999999851,27.00000000005,
8.1,-2.3070849250218,-3.7142455169763,19.78668846486,2.7,27.,
8.2,-3.9477907349501,-6.0772334706681,16.427198997145,2.7,27.,
8.3,-6.9743567982671,-11.020171842322,16.61912347115,2.7,27.,
8.4,-11.628693215175,-16.059028901072,24.376886213213,2.7,28.,
8.5,-13.371091846673,-11.116655702526,35.464659851959,2.400001,28.,
8.6,-8.1455157877594,-1.8153639176503,33.83572746376,2.400001,28.,
8.7,-3.2892734021766,-0.20094809962317,26.929681805268,2.400001,28.,
8.8,-1.5901383367232,-0.96576269900978,21.282208981218,2.400001,28.,
8.9,-1.6060038762197,-2.1641842624077,16.947354468553,2.400001,28.,
9.,6.9999999997365,-4.4909545999736,13.948331810798,2.400001,28.,
9.1,2.279337560727,1.5584681268066,10.507290267522,2.7,28.,
9.2,3.3108875376283,5.8885234639788,8.8734485464346,2.7,28.,
9.3,7.7730111239972,14.410426234224,11.634355059894,2.7,28.,
