t,DIST,MolHoldUpStill,L,V,
1.,0.90909090909091,999.09090909091,9.0909090909091,10.,
2.,1.8181818181818,998.18181818182,9.0909090909091,10.,
3.,2.7272727272727,997.27272727273,9.0909090909091,10.,
4.,3.6363636363636,996.36363636364,9.0909090909091,10.,
5.,4.5454545454545,995.45454545455,9.0909090909091,10.,
6.,5.4545454545455,994.54545454545,9.0909090909091,10.,
7.,6.3636363636364,993.63636363636,9.0909090909091,10.,
8.,7.2727272727273,992.72727272727,9.0909090909091,10.,
9.,8.1818181818182,991.81818181818,9.0909090909091,10.,
10.,9.0909090909091,990.90909090909,9.0909090909091,10.,
11.,10.,990.,9.0909090909091,10.,
12.,10.909090909091,989.09090909091,9.0909090909091,10.,
13.,11.818181818182,988.18181818182,9.0909090909091,10.,
14.,12.727272727273,987.27272727273,9.0909090909091,10.,
15.,13.636363636364,986.36363636364,9.0909090909091,10.,
16.,14.545454545455,985.45454545454,9.0909090909091,10.,
17.,15.454545454545,984.54545454545,9.0909090909091,10.,
18.,16.363636363636,983.63636363636,9.0909090909091,10.,
19.,17.272727272727,982.72727272727,9.0909090909091,10.,
20.,18.181818181818,981.81818181818,9.0909090909091,10.,
21.,19.090909090909,980.90909090909,9.0909090909091,10.,
22.,20.,980.,9.0909090909091,10.,
23.,20.909090909091,979.09090909091,9.0909090909091,10.,
24.,21.818181818182,978.18181818182,9.0909090909091,10.,
25.,22.727272727273,977.27272727273,9.0909090909091,10.,
26.,23.636363636364,976.36363636363,9.0909090909091,10.,
27.,24.545454545455,975.45454545454,9.0909090909091,10.,
28.,25.454545454545,974.54545454545,9.0909090909091,10.,
29.,26.363636363636,973.63636363636,9.0909090909091,10.,
30.,27.272727272727,972.72727272727,9.0909090909091,10.,
31.,28.181818181818,971.81818181818,9.0909090909091,10.,
32.,29.090909090909,970.90909090909,9.0909090909091,10.,
33.,30.,970.,9.0909090909091,10.,
34.,30.909090909091,969.09090909091,9.0909090909091,10.,
35.,31.818181818182,968.18181818182,9.0909090909091,10.,
36.,32.727272727273,967.27272727272,9.0909090909091,10.,
37.,33.636363636364,966.36363636363,9.0909090909091,10.,
38.,34.545454545454,965.45454545454,9.0909090909091,10.,
39.,35.454545454545,964.54545454545,9.0909090909091,10.,
40.,36.363636363636,963.63636363636,9.0909090909091,10.,
41.,37.272727272727,962.72727272727,9.0909090909091,10.,
42.,38.181818181818,961.81818181818,9.0909090909091,10.,
43.,39.090909090909,960.90909090909,9.0909090909091,10.,
44.,40.,960.,9.0909090909091,10.,
45.,40.909090909091,959.09090909091,9.0909090909091,10.,
46.,41.818181818182,958.18181818181,9.0909090909091,10.,
47.,42.727272727273,957.27272727272,9.0909090909091,10.,
