Fout,Cv,track,density,g,
11.612879935104,3.7058189008291e-002,10.000000000027,1000.,9.82,
11.612879937929,3.7058189017256e-002,10.000000000053,1000.,9.82,
11.612879940897,3.7058189026682e-002,10.000000000078,1000.,9.82,
11.612879943983,3.7058189036485e-002,10.000000000102,1000.,9.82,
11.61287994717,3.7058189046613e-002,10.000000000124,1000.,9.82,
11.612879950442,3.7058189057015e-002,10.000000000145,1000.,9.82,
11.612879953782,3.7058189067639e-002,10.000000000165,1000.,9.82,
11.612879957176,3.7058189078435e-002,10.000000000183,1000.,9.82,
11.612879960609,3.7058189089357e-002,10.0000000002,1000.,9.82,
11.612879964064,3.7058189100355e-002,10.000000000216,1000.,9.82,
11.612879967529,3.7058189111385e-002,10.00000000023,1000.,9.82,
11.612879970988,3.7058189122401e-002,10.000000000243,1000.,9.82,
11.867026152824,3.7864181433252e-002,10.002652124552,1000.,9.82,
12.397274079706,3.9545870968838e-002,10.007800209756,1000.,9.82,
12.954291493669,4.1312516538542e-002,10.012730658566,1000.,9.82,
13.535086937078,4.3154596511212e-002,10.017433049748,1000.,9.82,
14.136591981642,4.5062360718891e-002,10.021899228387,1000.,9.82,
14.755832162099,4.7026371334151e-002,10.026121903586,1000.,9.82,
15.389977284917,4.9037660974398e-002,10.030093039733,1000.,9.82,
16.036084614051,5.108691667721e-002,10.033808348138,1000.,9.82,
16.691368517958,5.3165333829654e-002,10.037262621615,1000.,9.82,
17.35305525856,5.526415368228e-002,10.040452890602,1000.,9.82,
18.018442884573,5.7374849992141e-002,10.043379588889,1000.,9.82,
18.68498066789,5.9489383481736e-002,10.046039278832,1000.,9.82,
19.350156526364,6.1599839286369e-002,10.048432462748,1000.,9.82,
20.011548275732,6.369859023101e-002,10.050559641561,1000.,9.82,
20.666875248013,6.5778455771513e-002,10.052424044215,1000.,9.82,
21.313909586181,6.7832424751996e-002,10.05402738786,1000.,9.82,
21.950585498983,6.9853994812997e-002,10.055374082955,1000.,9.82,
22.57494268758,7.1836995137014e-002,10.056468766175,1000.,9.82,
23.18510388425,7.3775514848327e-002,10.057316249375,1000.,9.82,
23.779269652885,7.4116378e-002,10.057921705899,1000.,9.82,
24.356040722925,7.4116378e-002,10.058294622917,1000.,9.82,
24.913811320211,7.4116378e-002,10.058440470423,1000.,9.82,
25.451131243962,7.4116378e-002,10.0583662132,1000.,9.82,
25.966890025748,7.4116378e-002,10.058081544426,1000.,9.82,
26.460100431989,7.4116378e-002,10.057596186068,1000.,9.82,
24.622238455492,7.4116378e-002,10.057147936764,1000.,9.82,
20.246126493392,6.4420909706451e-002,10.058163769548,1000.,9.82,
15.590269354588,4.9599535842782e-002,10.060994085885,1000.,9.82,
10.683264329395,3.3980186107843e-002,10.065725301798,1000.,9.82,
5.5483392704758,1.764165936418e-002,10.07247214925,1000.,9.82,
0.21081421818197,1.0320649244399e-003,10.081324975388,1000.,9.82,
-5.3016202034006,0.,10.092326903463,1000.,9.82,
-10.966932556816,0.,10.105575256475,1000.,9.82,
-16.760078761915,0.,10.121115380284,1000.,9.82,
-22.65744985431,0.,10.138996589781,1000.,9.82,
-28.635681796816,0.,10.159253253919,1000.,9.82,
-34.672073836407,0.,10.181912097334,1000.,9.82,
-40.744557953201,0.,10.207000624318,1000.,9.82,
-46.831413764424,0.,10.234516780425,1000.,9.82,
-52.911752256905,0.,10.264464710627,1000.,9.82,
-58.965028765674,0.,10.296850362868,1000.,9.82,
-64.97199053915,0.,10.331633262624,1000.,9.82,
-70.913445421137,0.,10.368805039936,1000.,9.82,
-76.770663743744,0.,10.408344591338,1000.,9.82,
-82.526167594839,0.,10.450207584437,1000.,9.82,
-88.162989938164,0.,10.494350251336,1000.,9.82,
-93.665031681759,0.,10.5407203721,1000.,9.82,
-99.016822351422,0.,10.589262004137,1000.,9.82,
-104.20377687937,0.,10.639911820899,1000.,9.82,
-109.2121396158,0.,10.692600934396,1000.,9.82,
-109.21968373842,0.,10.746540722614,1000.,9.82,
-108.6769134251,0.,10.800136460609,1000.,9.82,
-107.64189556054,0.,10.853416436141,1000.,9.82,
-106.13261954775,0.,10.906187541679,1000.,9.82,
-104.16791823915,0.,10.958262398274,1000.,9.82,
-101.76978272687,0.,11.009464221388,1000.,9.82,
-98.959418498632,0.,11.059619949213,1000.,9.82,
-95.761903184465,0.,11.108572542816,1000.,9.82,
-92.205108241966,0.,11.156185228672,1000.,9.82,
-88.308369582163,0.,11.202291549272,1000.,9.82,
-84.104712303179,0.,11.246793246584,1000.,9.82,
-79.616408760719,0.,11.289545340417,1000.,9.82,
-74.873331717147,0.,11.330452406227,1000.,9.82,
-69.902193617621,0.,11.36940551318,1000.,9.82,
-64.734133781808,0.,11.406348458614,1000.,9.82,
-59.394739573186,0.,11.441179589881,1000.,9.82,
-53.913082106792,0.,11.473844824477,1000.,9.82,
-48.317212502162,0.,11.504294440932,1000.,9.82,
-42.63462144477,0.,11.532486268414,1000.,9.82,
-36.892448407368,0.,11.558394443057,1000.,9.82,
-31.117005134504,0.,11.581996512672,1000.,9.82,
-25.334053801542,0.,11.603274708572,1000.,9.82,
-19.568261317313,0.,11.622254111421,1000.,9.82,
-13.843037453417,0.,11.638946796242,1000.,9.82,
-8.181681755207,0.,11.653347686173,1000.,9.82,
-2.6054630951361,0.,11.665500857651,1000.,9.82,
2.8655080497277,8.4627016110188e-003,11.675447688554,1000.,9.82,
8.2118924110398,2.4244100463424e-002,11.683227985429,1000.,9.82,
13.415769470177,3.9597978080399e-002,11.688893184314,1000.,9.82,
