t,Ws,Wz,
0.1,30.,107.61529458819,
0.2,30.,82.722904353482,
0.3,30.,42.273072155618,
0.4,2.3303715003579,2.3303715003579,
0.5,0.,-23.641477727354,
0.6,0.,-29.928020924241,
0.7,0.,-19.045155989301,
0.8,0.99172565563854,0.99172565563854,
0.9,20.770803789612,20.770803789612,
1.,30.,33.152144143191,
1.1,30.,35.287112310195,
1.2,28.646245383073,28.646245383073,
1.3,17.502338815861,17.502338815861,
1.4,6.7635962811279,6.7635962811279,
1.5,7.7918062387944e-002,7.7918062387944e-002,
1.6,0.,-1.1785761508946,
1.7,2.1285843830123,2.1285843830123,
1.8,7.7141437578219,7.7141437578219,
1.9,13.012277294762,13.012277294762,
2.,16.154335138033,16.154335138033,
2.1,16.473886370937,16.473886370937,
2.2,14.467625440498,14.467625440498,
2.3,11.350950054832,11.350950054832,
2.4,8.4595602010627,8.4595602010627,
2.5,6.7455944009834,6.7455944009834,
2.6,6.5261017779392,6.5261017779392,
2.7,7.5155362952775,7.5155362952775,
2.8,9.0655040888179,9.0655040888179,
2.9,10.478781021616,10.478781021616,
3.,11.268681247013,11.268681247013,
3.1,11.283916170177,11.283916170177,
3.2,10.68533234619,10.68533234619,
3.3,9.8168096230364,9.8168096230364,
3.4,9.0406023299356,9.0406023299356,
3.5,8.6039425327265,8.6039425327265,
3.6,8.5772511893886,8.5772511893886,
3.7,8.869532659351,8.869532659351,
3.8,9.2977518213146,9.2977518213146,
3.9,9.6730868274567,9.6730868274567,
4.,9.8694554427775,9.8694554427775,
4.1,9.8539699347091,9.8539699347091,
4.2,9.677208175685,9.677208175685,
4.3,9.4359890783517,9.4359890783517,
4.4,9.228223778451,9.228223778451,
4.5,9.1177450698265,9.1177450698265,
4.6,9.1193539273258,9.1193539273258,
4.7,9.2047696335682,9.2047696335682,
4.8,9.3225655666008,9.3225655666008,
4.9,9.4217781378197,9.4217781378197,
5.,9.469934763678,9.469934763678,
5.1,9.4603590167522,9.4603590167522,
5.2,9.4086113110732,9.4086113110732,
5.3,9.34182650004,9.34182650004,
5.4,9.2863769697469,9.2863769697469,
5.5,9.2586404153318,9.2586404153318,
5.6,9.2614485453218,9.2614485453218,
5.7,9.2861778399441,9.2861778399441,
5.8,9.3184424370301,9.3184424370301,
5.9,9.3445341718604,9.3445341718604,
6.,9.3561439063821,9.3561439063821,
6.1,9.3520765512281,9.3520765512281,
6.2,9.3370387240705,9.3370387240705,
6.3,9.3186027559927,9.3186027559927,
6.4,9.303847121742,9.303847121742,
6.5,9.2969443553605,9.2969443553605,
6.6,9.2983382429606,9.2983382429606,
6.7,9.305438604023,9.305438604023,
6.8,9.3142377881439,9.3142377881439,
6.9,9.3210614202588,9.3210614202588,
7.,9.3237988438358,9.3237988438358,
7.1,9.3222943053786,9.3222943053786,
7.2,9.3179521206753,9.3179521206753,
7.3,9.3128768666295,9.3128768666295,
7.4,9.3089616072206,9.3089616072206,
7.5,9.307260883929,9.307260883929,
7.6,9.3078064690876,9.3078064690876,
7.7,9.309829883688,9.309829883688,
7.8,9.3122190345627,9.3122190345627,
7.9,9.3139925471836,9.3139925471836,
8.,9.3146187408457,9.3146187408457,
8.1,9.3141012595317,9.3141012595317,
8.2,9.3128544014636,9.3128544014636,
8.3,9.3114608225948,9.3114608225948,
8.4,9.3104249238046,9.3104249238046,
8.5,9.3100107631739,9.3100107631739,
8.6,9.310202832341,9.310202832341,
8.7,9.3107754664159,9.3107754664159,
8.8,9.3114212227043,9.3114212227043,
8.9,9.311878955197,9.311878955197,
9.,9.3120160248424,9.3120160248424,
9.1,9.3118458820451,9.3118458820451,
9.2,9.3114895884847,9.3114895884847,
9.3,9.3111078510128,9.3111078510128,
9.4,9.3108345467877,9.3108345467877,
9.5,9.3107350774599,9.3107350774599,
9.6,9.3107986885384,9.3107986885384,
9.7,9.3109596931738,9.3109596931738,
9.8,9.3111334040361,9.3111334040361,
9.9,9.3112505956433,9.3112505956433,
10.,9.3112785562214,9.3112785562214,
10.1,10.960543270886,10.960543270886,
10.2,15.585133731649,15.585133731649,
10.3,20.649286375399,20.649286375399,
10.4,24.96351325424,24.96351325424,
10.5,28.31559726921,28.31559726921,
10.6,30.,30.855405515615,
10.7,30.,32.808444855671,
10.8,30.,34.369916829767,
10.9,30.,35.679683428103,
11.,30.,36.827896441618,
11.1,30.,37.868610555109,
11.2,30.,38.83255912156,
11.3,30.,39.736608872123,
11.4,30.,40.589935100015,
11.5,30.,41.397717454459,
11.6,30.,42.163195208316,
11.7,30.,42.888731198266,
11.8,30.,43.576320009261,
11.9,30.,44.227806358051,
12.,30.,44.844964141999,
12.1,30.,45.429515339541,
12.2,30.,45.983127241486,
12.3,30.,46.507404865792,
12.4,30.,47.003884782511,
12.5,30.,47.474031849407,
12.6,30.,47.919238562924,
12.7,30.,48.340826256374,
12.8,30.,48.740047420469,
12.9,30.,49.11808861103,
13.,30.,49.476073597423,
13.1,30.,49.815066548113,
13.2,30.,50.13607514426,
13.3,30.,50.440053569284,
13.4,30.,50.727905354067,
13.5,30.,51.000486073863,
13.6,30.,51.2586059006,
13.7,30.,51.503032017353,
13.8,30.,51.734490902603,
13.9,30.,51.953670491804,
14.,30.,52.161222223294,
14.1,30.,52.35776297511,
14.2,30.,52.543876898732,
14.3,30.,52.720117155387,
14.4,30.,52.887007560173,
14.5,30.,53.045044138919,
14.6,30.,53.194696602449,
14.7,30.,53.336409742629,
14.8,30.,53.470604754352,
14.9,30.,53.597680487399,
15.,30.,53.718014631878,
15.1,30.,53.831964840783,
15.2,30.,53.939869792995,
15.3,30.,54.042050199891,
15.4,30.,54.138809758554,
15.5,30.,54.230436054405,
15.6,30.,54.317201415963,
15.7,30.,54.399363724243,
15.8,30.,54.477167179223,
15.9,30.,54.550843025651,
