t,XA1,XB1,XC1,XD1,XE1,YA1,YB1,YC1,YD1,YE1,
1.,0.95365970145398,0.13510538843186,8.0545921013623e-003,6.332991519116e-005,-9.6883011902393e-002,0.90567389254135,9.6236133635866e-002,3.8249489907764e-003,1.5037085986876e-005,0.80559777282872,
2.,0.93851426154476,0.1406079441192,8.5260661980756e-003,6.741881148001e-005,-8.7715690673512e-002,0.9000113929258,0.10114019700795,4.0886964861853e-003,1.6165596205128e-005,0.79476633383546,
3.,0.92437402320379,0.14593701188775,8.9889867523302e-003,7.144243286052e-005,-7.9371464276732e-002,0.89450678661553,0.1059258371873,4.3497820618828e-003,1.7285689574106e-005,0.78421388167677,
4.,0.9112526220916,0.15104911846755,9.440299592114e-003,7.5376296346183e-005,-7.1817416447615e-002,0.88920064775838,0.11055391221286,4.6063864653166e-003,1.8390032901859e-005,0.7740219590473,
5.,0.89910681857256,0.15591538430421,9.87763504243e-003,7.9200955763628e-005,-6.4979038874966e-002,0.8841214188864,0.11499515779254,4.8569189237702e-003,1.9472016624509e-005,0.76424987015347,
6.,0.88789200505305,0.16051499761928,1.0299072639815e-002,8.2900334764712e-005,-5.8788975646907e-002,0.8792909733708,0.11922674119682,5.100024900788e-003,2.0525922845772e-005,0.75494368135034,
7.,0.87756159713793,0.1648349528413,1.0703147981935e-002,8.646182257513e-005,-5.3186159783738e-002,0.87472449669643,0.12323235964247,5.334602909966e-003,2.1547002212245e-005,0.74613598714178,
8.,0.8680672296212,0.16886929387902,1.108883020824e-002,8.9876146890756e-005,-4.8115229855343e-002,0.87043086941418,0.12700186463105,5.5598028064822e-003,2.2531480414339e-005,0.73784667049624,
9.,0.85935915728705,0.17261821768491,1.1455488524614e-002,9.3137157191458e-005,-4.3526000653774e-002,0.86641324244904,0.13053070050506,5.7750154723262e-003,2.3476530322034e-005,0.73008404994134,
10.,0.85138678642802,0.17608710400584,1.1802850954009e-002,9.6241541871073e-005,-3.9372982929743e-002,0.86266974394954,0.13381921661172,5.9798557071397e-003,2.4380216276511e-005,0.7228462914144,
11.,0.84409927113345,0.17928552962632,1.2130958372424e-002,9.9188502134872e-005,-3.5614947634322e-002,0.85919425952259,0.13687190963248,6.1741402257814e-003,2.5241417571707e-005,0.71612296824676,
12.,0.83744611954294,0.18222631498772,1.2440116577434e-002,1.0197940367333e-004,-3.2214530511763e-002,0.85597723436515,0.13969664596931,6.3578625969306e-003,2.6059738066034e-005,0.70989666606085,
13.,0.8313777677668,0.18492463937537,1.2730848701247e-002,1.0461742416193e-004,-2.9137873267571e-002,0.85300645498542,0.14230390503387,6.5311667722903e-003,2.6835408296341e-005,0.70414454777096,
14.,0.8258460916614,0.18739724922949,1.3003849785757e-002,1.0710721113282e-004,-2.6354297887773e-002,0.85026777847941,0.14470607423794,6.6943205953815e-003,2.7569185577154e-005,0.69883981446051,
15.,0.82080483807395,0.18966177353779,1.3259944837355e-002,1.094545611253e-004,-2.383601101022e-002,0.84774578751112,0.14691681657537,6.8476903824645e-003,2.8262256508451e-005,0.69395301829677,
16.,0.81620996688227,0.19173615132188,1.3500051214884e-002,1.1166612756564e-004,-2.1557835546604e-002,0.84542435837464,0.14895052273824,6.9917173691466e-003,2.8916145213657e-005,0.68945320212204,
17.,0.81201990284256,0.19363816921906,1.3725145801372e-002,1.1374916176644e-004,-1.9496967024752e-002,0.84328713727203,0.15082185222092,7.1268965393751e-003,2.9532629584889e-005,0.68530885588215,
