t,XA5,XB5,XC5,XD5,XE5,YA5,YB5,YC5,YD5,YE5,
1.,0.69208528361529,0.30367881075268,9.0666018319181e-002,1.1341991634119e-002,-9.7772104321274e-002,0.71948637465104,0.23678739911892,4.7130412609556e-002,2.947924906753e-003,-6.3521112862671e-003,
2.,0.67647493806348,0.30786948401105,9.2583005357178e-002,1.1590303909846e-002,-8.8517731341555e-002,0.71128671829412,0.24280395652599,4.8678364684076e-002,3.0469843904938e-003,-5.8160238946832e-003,
3.,0.66211687283529,0.31175140756676,9.4397102845995e-002,1.1825705709953e-002,-8.0091088958001e-002,0.7035558278616,0.24846391639173,5.0156627028166e-002,3.1417190311369e-003,-5.3180903126307e-003,
4.,0.64898581676655,0.31531998844693,9.6105899152937e-002,1.2047886573837e-002,-7.2459590940253e-002,0.69631424871616,0.25375120267703,5.1560922480027e-002,3.2318563541631e-003,-4.8582302273806e-003,
5.,0.63698782532681,0.31859035341221,9.7713237023969e-002,1.225731670166e-002,-6.5548732464656e-002,0.68955222821441,0.2586731346162,5.2891452238089e-002,3.3174010868772e-003,-4.4342161555763e-003,
6.,0.62603340544519,0.32157968570185,9.9223466041844e-002,1.2454527094822e-002,-5.9291084283709e-002,0.68325529368204,0.26324095265084,5.4149202682314e-002,3.3984066400526e-003,-4.0438556552431e-003,
7.,0.61603727742201,0.32430672469903,0.10064134452348,1.2640097962222e-002,-5.3625444606742e-002,0.67740493774133,0.26746923232701,5.5335856673257e-002,3.4749697456632e-003,-3.6849964872592e-003,
8.,0.60691857236177,0.32679114616389,0.10197190952293,1.2814643283525e-002,-4.8496271332112e-002,0.67197954493408,0.27137510534327,5.64536685967e-002,3.5472228707373e-003,-3.3555417447856e-003,
9.,0.59860098681569,0.32905302007361,0.10322036209629,1.2978797201446e-002,-4.3853166187035e-002,0.66695525937472,0.27497753095047,5.7505345046808e-002,3.615326964911e-003,-3.0534623369094e-003,
10.,0.59101288429566,0.33111235090319,0.10439196827826,1.3133202282324e-002,-3.9650405759432e-002,0.66230677142344,0.27829663673378,5.8493934079239e-002,3.6794647176013e-003,-2.7768069540616e-003,
11.,0.58408733890704,0.33298870085863,0.1054919755847,1.3278499611878e-002,-3.5846514962258e-002,0.65800800940262,0.28135314079703,5.9422725036838e-002,3.7398344452674e-003,-2.5237096817542e-003,
12.,0.57776212094123,0.33470089301896,0.10652554435905,1.3415320637433e-002,-3.2403878956674e-002,0.65403272957847,0.28416786108943,6.0295160112751e-002,3.7966446793329e-003,-2.2923954599901e-003,
13.,0.57197962780026,0.33626678863934,0.10749769291626,1.3544280628051e-002,-2.9288389983924e-002,0.65035500366733,0.28676131235615,6.1114758100973e-002,3.8501094828095e-003,-2.0811836072605e-003,
14.,0.56668676611575,0.33770313101363,0.10841325519714,1.3665973598296e-002,-2.6469125924817e-002,0.64694960785105,0.28915338709193,6.1885050207811e-002,3.9004444893692e-003,-1.8884896401592e-003,
15.,0.56183479246601,0.33902544722337,0.10927684951035,1.3780968527686e-002,-2.3918057727407e-002,0.64379232069344,0.2913631139358,6.2609527361068e-002,3.9478636325897e-003,-1.7128256228974e-003,
16.,0.55737912082746,0.34024799869989,0.11009285689316,1.3889806704087e-002,-2.1609783124607e-002,0.64086013954181,0.29340848507189,6.3291598147993e-002,3.9925765148155e-003,-1.5527992765077e-003,
17.,0.55327910498232,0.34138377166084,0.1108654076438,1.3993000023017e-002,-1.9521284309976e-002,0.63813142614662,0.29530634324424,6.3934556322297e-002,4.0347863535785e-003,-1.4071120667276e-003,
18.,0.54949780370919,0.34244449901213,0.11159837465169,1.4091030084092e-002,-1.7631707457107e-002,0.63558599254212,0.29707231876869,6.4541556725536e-002,4.0746884376749e-003,-1.2745564740263e-003,
19.,0.54600173586192,0.34344070609978,0.11229537225989,1.4184347938723e-002,-1.5922162160315e-002,0.63320513791126,0.29872080724735,6.5115598448316e-002,4.1124690235883e-003,-1.1540126305137e-003,
20.,0.54276063152703,0.34438177363817,0.11295975952228,1.4273374358203e-002,-1.4375539045684e-002,0.63097164640324,0.30026497938721,6.5659514092649e-002,4.1483046048514e-003,-1.0444444879513e-003,
21.,0.53974718445022,0.34527601214147,0.11359464685606,1.43585005072e-002,-1.2976343954945e-002,0.62886975484971,0.30171681524805,6.6175964071059e-002,4.1823614911224e-003,-9.448956599392e-004,
22.,0.53693680991864,0.34613074317164,0.11420290522909,1.4440088923555e-002,-1.1710547242929e-002,0.62688509816959,0.30308715627558,6.6667434975992e-002,4.2147956393728e-003,-8.5448506053181e-004,
23.,0.5343074113358,0.34695238364391,0.11478717715437,1.4518474720425e-002,-1.0565446854507e-002,0.62500463906659,0.30438576952592,6.7136241163264e-002,4.2457526859487e-003,-7.7240244172711e-004,
24.,0.53183915786595,0.34774653026568,0.11534988888821,1.4593966940872e-002,-9.5295439607088e-003,0.62321658747865,0.30562141949363,6.7584528806799e-002,4.2753681348752e-003,-6.9790391395982e-004,
25.,0.52951427477507,0.34851804191489,0.11589326334,1.4666850007636e-002,-8.5924300375947e-003,0.62151031418252,0.30680194387789,6.801428179255e-002,4.3037676642352e-003,-6.303075171979e-004,
26.,0.52731684746214,0.349271118382,0.1164193333003,1.4737385222008e-002,-7.7446843664476e-003,0.61987626201582,0.30793433043812,6.8427328923154e-002,4.3310675185387e-003,-5.6898889562761e-004,
27.,0.52523263965581,0.35000937441078,0.11692995467903,1.4805812275395e-002,-6.9777810210122e-003,0.61830585736411,0.30902479279264,6.8825351998933e-002,4.3573749605455e-003,-5.1337711622434e-004,
28.,0.52324892583978,0.35073590838404,0.11742681951825,1.4872350745406e-002,-6.2840044874808e-003,0.61679142387283,0.31007884360259,6.9209894424331e-002,4.3827887609417e-003,-4.629506606906e-004,
29.,0.52135433765376,0.35145336532298,0.1179114686045,1.4937201555197e-002,-5.6563731364427e-003,0.61532609977585,0.31110136406551,6.958237006123e-002,4.4073997085783e-003,-4.1723361116539e-004,
30.,0.51953872378262,0.35216399411472,0.11838530355566,1.5000548380564e-002,-5.0885698335644e-003,0.61390375977358,0.31209666902896,6.99440721124e-002,4.4312911276699e-003,-3.7579204260845e-004,
31.,0.51779302268221,0.3528696990641,0.11884959829766,1.5062558993894e-002,-4.5748790378622e-003,0.61251894203023,0.3130685673368,7.0296181870176e-002,4.454539391468e-003,-3.382306286741e-004,
32.,0.51610914738199,0.35357208599465,0.11930550987894,1.5123386537891e-002,-4.1101297934777e-003,0.61116678057858,0.31402041725159,7.0639777208348e-002,4.4772144245176e-003,-3.0418946303145e-004,
33.,0.51447988154272,0.35427250320978,0.11975408859578,1.5183170724954e-002,-3.6896440732378e-003,0.60984294320842,0.31495517696787,7.0975840730264e-002,4.4993801877308e-003,-2.7334109428039e-004,
34.,0.51289878592031,0.35497207767835,0.1201962874213,1.5242038960392e-002,-3.3091899803496e-003,0.6085435747584,0.31587545035475,7.1305267514302e-002,4.5210951422444e-003,-2.4538776969791e-004,
35.,0.51136011438704,0.35567174683622,0.12063297074587,1.5300107389502e-002,-2.9649393586409e-003,0.60726524562078,0.3167835281505,7.1628872420217e-002,4.5424126894023e-003,-2.2005888089162e-004,
36.,0.50985873868118,0.35637228640367,0.12106492244745,1.5357481869816e-002,-2.6534294021196e-003,0.60600490519389,0.31768142488637,7.1947396937319e-002,4.5633815853014e-003,-1.971086028858e-004,
37.,0.50839008108964,0.35707433461294,0.12149285331814,1.541425887084e-002,-2.3715278915679e-003,0.60475983997074,0.31857091184833,7.2261515568867e-002,4.5840463291833e-003,-1.7631371711941e-004,
38.,0.5069500543116,0.35777841322515,0.12191740787861,1.5470526304302e-002,-2.1164017196651e-003,0.60352763592683,0.31945354639861,7.2571841757149e-002,4.6044475256043e-003,-1.5747160819363e-004,
39.,0.50553500779943,0.35848494569403,0.12233917061519,1.5526364288342e-002,-1.8854883969973e-003,0.60230614486142,0.32033069798053,7.2878933361126e-002,4.6246222208015e-003,-1.4039842388131e-004,
