t,XA3,XB3,XC3,XD3,XE3,YA3,YB3,YC3,YD3,YE3,
1.,0.85411016901154,0.21366719750333,2.8514091142551e-002,8.9328260433689e-004,-9.7184740261753e-002,0.83508877887787,0.15669056490219,1.3940537198956e-002,2.1836348379571e-004,-5.9382444628166e-003,
2.,0.83730753497886,0.22002809846294,2.9728473220099e-002,9.3345171545415e-004,-8.7997558377354e-002,0.82742321919834,0.16308950929603,1.4690618840021e-002,2.3063825081042e-004,-5.433985585209e-003,
3.,0.82170256129535,0.2260604695624,3.0898642397856e-002,9.7223971628635e-004,-7.9633912971894e-002,0.82007848945299,0.16922492642582,1.5420457235369e-002,2.4260677179595e-004,-4.9664798859741e-003,
4.,0.80729840633604,0.23173364426187,3.2019531154324e-002,1.0094851535533e-003,-7.2061066905793e-002,0.81309412507778,0.17506093289495,1.6126199008039e-002,2.5420755492806e-004,-4.5354645357037e-003,
5.,0.79402980888803,0.23704061585726,3.3089096669426e-002,1.0451199577884e-003,-6.5204641372498e-002,0.8064868827463,0.18058091911271,1.6805437929016e-002,2.6540086606283e-004,-4.1386406540898e-003,
6.,0.78183086929098,0.24198123430438,3.4106167721174e-002,1.0791026164186e-003,-5.8997373932947e-002,0.80026608818725,0.1857751753329,1.7456365391181e-002,2.7615616851418e-004,-3.7737850798455e-003,
7.,0.77063498753294,0.24656146976054,3.50703855154e-002,1.1114165278088e-003,-5.3378259336684e-002,0.79443406376,0.19064047554258,1.8077757268692e-002,2.8645197429558e-004,-3.4387485455685e-003,
8.,0.76037545186909,0.25079235012833,3.5982101990565e-002,1.1420670614322e-003,-4.8291971049413e-002,0.78898698798552,0.19517927357564,1.8668926887491e-002,2.9627517597127e-004,-3.1314636246258e-003,
9.,0.75098607433002,0.25468890997048,3.684227390818e-002,1.1710784638662e-003,-4.3688336672549e-002,0.78391583562523,0.19939882654662,1.9229668439838e-002,3.0562022421331e-004,-2.8499508358968e-003,
10.,0.7424018213515,0.25826919259289,3.7652357380798e-002,1.1984907503156e-003,-3.9521862075506e-002,0.77920734198228,0.20331029818459,1.9760194736441e-002,3.1448820951675e-004,-2.5923231128308e-003,
11.,0.73455939994614,0.2615533363349,3.8414206591774e-002,1.2243566955561e-003,-3.5751299568371e-002,0.77484494439512,0.2069278857448,2.0261072768195e-002,3.2288590073922e-004,-2.3567888088481e-003,
12.,0.72739777184107,0.26456276553015,3.9129979525591e-002,1.2487390110651e-003,-3.2339255907875e-002,0.77080966456789,0.21026800404933,2.0733159988022e-002,3.3082478513328e-004,-2.1416533903735e-003,
13.,0.72085857894651,0.26731949700801,3.9802052630125e-002,1.2717077688949e-003,-2.9251836353535e-002,0.76708090622035,0.21334854999558,2.1177543596602e-002,3.3832014543593e-004,-1.9453199579746e-003,
14.,0.7148864728285,0.26984556490977,4.043294552702e-002,1.293338109141e-003,-2.645832137443e-002,0.76363715260472,0.21618826143902,2.1595484487323e-002,3.4539020032007e-004,-1.7662887313869e-003,
15.,0.70942934825884,0.27216256023872,4.1025256206593e-002,1.3137082476731e-003,-2.3930872951828e-002,0.76045655711014,0.21880617627323,2.1988366923143e-002,3.5205532582477e-004,-1.6031556323385e-003,
16.,0.70443848636916,0.27429127697387,4.1581606603326e-002,1.3328977845703e-003,-2.1644267730925e-002,0.75751742713625,0.22122119108104,2.2357654512546e-002,3.5833736775243e-004,-1.4546100975819e-003,
17.,0.69986861658592,0.27625145361559,4.2104598046166e-002,1.3509863014643e-003,-1.9575654549139e-002,0.75479860659553,0.22345171396849,2.2704852639026e-002,3.6425904871286e-004,-1.3194322517636e-003,
18.,0.69567790862029,0.27806159746081,4.2596775803227e-002,1.3680522274296e-003,-1.7704334111755e-002,0.75227976590815,0.22551540300595,2.3031477182247e-002,3.6984346858465e-004,-1.1964895649325e-003,
19.,0.69182790663313,0.27973887844571,4.3060601775022e-002,1.384171947705e-003,-1.6011558801572e-002,0.7499416104061,0.22742897986899,2.3339029143682e-002,3.7511369359226e-004,-1.0847331123681e-003,
20.,0.6882834176032,0.2812990797571,4.349843431372e-002,1.3994191267844e-003,-1.4480350800805e-002,0.74776601894366,0.22920810753082,2.3628974643976e-002,3.800924268164e-004,-9.8319354527406e-004,
21.,0.68501236518011,0.28275659333986,4.3912514137189e-002,1.4138642167146e-003,-1.3095336873875e-002,0.74573612450338,0.23086732093541,2.3902729679833e-002,3.8480175157074e-004,-8.9097687018656e-004,
22.,0.68198561914984,0.28412444969293,4.4304955346734e-002,1.4275741222111e-003,-1.1842598311716e-002,0.74383634795938,0.23242000022519,2.4161649000244e-002,3.8926293848256e-004,-8.0726012329573e-004,
23.,0.67917680927438,0.28541437277385,4.4677740630071e-002,1.4406119960011e-003,-1.0709534674305e-002,0.74205239513831,0.23387837709661,2.4407018471816e-002,3.9349630711018e-004,-7.3128701384351e-004,
24.,0.67656213083668,0.28663685229084,4.503271982267e-002,1.4530371402082e-003,-9.6847400903987e-003,0.74037122608678,0.23525356603985,2.4640050338911e-002,3.9752113333895e-004,-6.623635988773e-004,
25.,0.67412014783135,0.28780122705911,4.5371611100995e-002,1.4649049923224e-003,-8.7578909837793e-003,0.73878100415009,0.23655561345931,2.4861880836416e-002,4.0135559447431e-004,-5.9985404028854e-004,
26.,0.67183159845718,0.28891577437831,4.5696004182599e-002,1.4762671771085e-003,-7.9196441951956e-003,0.73727103118685,0.23779355887944,2.5073569673515e-002,4.0501674477718e-004,-5.4317648457993e-004,
27.,0.66967920642725,0.28998780151858,4.6007365005504e-002,1.4871716085486e-003,-7.1615445598794e-003,0.73583167405157,0.23897550355945,2.5276100970252e-002,4.0852051507663e-004,-4.9179909634475e-004,
28.,0.66764750063296,0.29102373637235,4.6307041449309e-002,1.4976626284778e-003,-6.4759410831057e-003,0.73445428640835,0.24010868283801,2.5470385290783e-002,4.1188173098417e-004,-4.4523626812213e-004,
29.,0.66572264488021,0.29202921513916,4.6596269741339e-002,1.5077811709006e-003,-5.855910931608e-003,0.73313112901011,0.24119953939138,2.5657262475555e-002,4.1511414508111e-004,-4.0304502212612e-004,
30.,0.66389227875029,0.29300916557207,4.6876181262102e-002,1.5175649430398e-003,-5.2951905274963e-003,0.73185529079131,0.24225379531515,2.5837505027608e-002,4.1823047922918e-004,-3.6482161329883e-004,
31.,0.66214537011119,0.29396788484189,4.7147809525246e-002,1.5270486159583e-003,-4.7881130942833e-003,0.73062061247184,0.24327652153738,2.6011821855072e-002,4.2124247385153e-004,-3.3019833814464e-004,
32.,0.66047207939789,0.29490911148638,4.7412097158832e-002,1.5362640191291e-003,-4.3295520622338e-003,0.72942161384312,0.24427220355248,2.6180862212518e-002,4.2416094164141e-004,-2.9884054975764e-004,
33.,0.65886363547607,0.29583609122472,4.7669902757584e-002,1.5452403346112e-003,-3.9148697929783e-003,0.72825342548944,0.24524480284474,2.6345219718388e-002,4.2699582368022e-004,-2.7044387625729e-004,
34.,0.65731222268434,0.2967516366487,4.7922007510992e-002,1.5540042875604e-003,-3.5398711315911e-003,0.7271117253735,0.24619781366283,2.6505436354658e-002,4.2975624639033e-004,-2.4473163738175e-004,
35.,0.65581087849977,0.29765818096742,4.8169121540617e-002,1.5625803306761e-003,-3.2007613384827e-003,0.72599268046839,0.24713431502687,2.6662006378771e-002,4.3245057811856e-004,-2.2145245215366e-004,
36.,0.65435340117544,0.29855782609484,4.841188990266e-002,1.5709908208952e-003,-2.8941079938364e-003,0.72489289343651,0.24805701801096,2.681538009731e-002,4.3508648445072e-004,-2.0037802922038e-004,
37.,0.65293426664583,0.29945238544149,4.8650898229686e-002,1.5792561872079e-003,-2.6168065042224e-003,0.72380935422499,0.24896830845749,2.6965967466506e-002,4.3767098160599e-004,-1.813011305905e-004,
38.,0.6515485539747,0.30034342181188,4.8886677999241e-002,1.5873950889159e-003,-2.3660488747438e-003,0.72273939635809,0.24987028535636,2.7114141497057e-002,4.4021048745897e-004,-1.640336989644e-004,
39.,0.65019187862312,0.30123228082615,4.9119711427556e-002,1.5954245640012e-003,-2.1392954408352e-003,0.7216806576488,0.25076479516954,2.7260241450377e-002,4.4271086989553e-004,-1.4840513860999e-004,
40.,0.64886033283529,0.30212012028474,4.9350435994357e-002,1.6033601675354e-003,-1.9342492819216e-003,0.72063104501891,0.25165346240762,2.7404575820848e-002,4.4517749233242e-004,-1.3426073970969e-004,
41.,0.6475504324715,0.30300793588258,4.957924861039e-002,1.6112161002615e-003,-1.748833064733e-003,0.71958870310129,0.25253771677442,2.7547425104223e-002,4.4761525632601e-004,-1.2146023625068e-004,
42.,0.64625906965703,0.30389658365955,4.9806509443197e-002,1.6190053276214e-003,-1.5811680873911e-003,0.71855198629634,0.25341881719373,2.7689044356471e-002,4.5002864126837e-004,-1.0987648780082e-004,
43.,0.64498347065906,0.30478679954873,5.0032545419227e-002,1.6267396896056e-003,-1.4295553166211e-003,0.71751943396202,0.25429787302235,2.7829665550291e-002,4.524217412222e-004,-9.939427587737e-005,
44.,0.64372115844978,0.30567921635624,5.0257653421865e-002,1.6344300018717e-003,-1.2924582297571e-003,0.71648974843075,0.25517586273775,2.7969499738554e-002,4.5479829898541e-004,-8.9909206040465e-005,
45.,0.64246991945907,0.30657437847743,5.0482103205664e-002,1.6420861486177e-003,-1.1684872907819e-003,0.71546177556459,0.25605365037002,2.8108739035205e-002,4.5716173750275e-004,-8.1326707316969e-005,
46.,0.64122777406525,0.30747275462545,5.07061400472e-002,1.6497171677192e-003,-1.0563859056169e-003,0.71443448758029,0.25693199992708,2.8247558424911e-002,4.5951518875996e-004,-7.3561121044558e-005,
47.,0.639992950415,0.30837474882013,5.0929987152597e-002,1.6573313286492e-003,-9.5501771638088e-004,0.71340696789759,0.2578115880408,2.8386117413034e-002,4.6186152030609e-004,-6.6534871732295e-005,
48.,0.63876386120406,0.30928070985862,5.1153847841158e-002,1.664936203688e-003,-8.6335510752586e-004,0.71237839778533,0.25869301504063,2.8524561527516e-002,4.6420335955467e-004,-6.0177713029975e-005,
49.,0.63753908308765,0.3101909394645,5.137790752364e-002,1.6725387329261e-003,-7.8046880871112e-004,0.7113480446016,0.25957681464077,2.8663023684007e-002,4.6654311601555e-004,-5.4426042387022e-005,
50.,0.6363173384245,0.31110569928934,5.1602335492758e-002,1.6801452835354e-003,-7.055184901348e-004,0.71031525144377,0.2604634624079,2.8801625425184e-002,4.6888300160637e-004,-4.9222278458641e-005,
51.,0.63509747908999,0.31202521691977,5.1827286542364e-002,1.6877617037698e-003,-6.3774425589221e-004,0.7092794280439,0.26135338315799,2.8940478044684e-002,4.7122504918885e-004,-4.4514295765918e-005,
52.,0.63387847212261,0.31294969102445,5.2052902430674e-002,1.695393372123e-003,-5.7645894985474e-004,0.70824004276195,0.26224695741463,2.9079683605503e-002,4.7357112946857e-004,-4.0254911552381e-005,
53.,0.63265938699432,0.31387929575851,5.2279313201782e-002,1.7030452420518e-003,-5.2104119666464e-004,0.70719661554607,0.26314452704564,2.9219335862086e-002,4.7592296639019e-004,-3.640142018578e-005,
54.,0.63143938431859,0.31481418452795,5.2506638378588e-002,1.7107218826413e-003,-4.7092910777136e-004,0.70614871174353,0.26404640018144,2.9359521094717e-002,4.7828215115252e-004,-3.2915170833939e-005,
55.,0.63021770583114,0.31575449320316,5.2734988039226e-002,1.7184275155641e-003,-4.2561458909118e-004,0.70509593665943,0.26495285550596,2.9500318864145e-002,4.8065015495974e-004,-2.9761184503211e-005,
56.,0.62899366549723,0.31670034285895,5.2964463788058e-002,1.7261660486589e-003,-3.8463819289027e-004,0.70403793077242,0.265864146,2.9641802693824e-002,4.8302834061731e-004,-2.6907806862786e-005,
57.,0.62776664161593,0.31765184210825,5.3195159631332e-002,1.7339411064282e-003,-3.4758446194728e-004,0.70297436552699,0.26678050220702,2.9784040686496e-002,4.8541797307326e-004,-2.4326393579994e-005,
58.,0.62653606980712,0.31860908908741,5.3427162766735e-002,1.7417560577318e-003,-3.1407771899865e-004,0.70190493963218,0.2677021350827,2.9927096081306e-002,4.8782022899785e-004,-2.1991025183971e-005,
59.,0.62530143677975,0.31957217314305,5.3660554295206e-002,1.7496140409292e-003,-2.8377825893568e-004,0.70082937580433,0.26862923848181,3.0071027757112e-002,4.9023620548743e-004,-1.9878248732991e-005,
