t,XA6,XB6,XC6,XD6,XE6,YA6,YB6,YC6,YD6,YE6,
1.,0.57588021796415,0.3337476141464,0.14908476231832,3.7285924274759e-002,-9.5998518703631e-002,0.63698802789121,0.27688130572573,8.2455579230773e-002,1.0311026656679e-002,-6.6359395043977e-003,
2.,0.56298934706405,0.33544271939266,0.15057134769118,3.7672137820326e-002,-8.6675551968216e-002,0.62982635923149,0.28146651063156,8.4229470444349e-002,1.0536888122055e-002,-6.0592284294522e-003,
3.,0.55118738048612,0.33698792165559,0.15197381525084,3.8037173109359e-002,-7.8186290501914e-002,0.62312247498135,0.2857407859761,8.5909166478684e-002,1.0751010919194e-002,-5.5234383553259e-003,
4.,0.54043846431368,0.33838546337165,0.15329270103877,3.838115656235e-002,-7.0497785286455e-002,0.61688292155948,0.28970002716671,8.7492471039457e-002,1.0953112782298e-002,-5.0285325479521e-003,
5.,0.53064927878653,0.33964682559619,0.15453334279248,3.8705416687987e-002,-6.353486386318e-002,0.61108628644308,0.29335935113927,8.8982894074639e-002,1.1143621178293e-002,-4.5721528352884e-003,
6.,0.52173340523867,0.34078380705158,0.15570101867321,3.9011262083724e-002,-5.7229493047187e-002,0.60570915030246,0.2967353992669,9.0384392611372e-002,1.1323018796195e-002,-4.1519609769287e-003,
7.,0.51361070828235,0.34180832726664,0.15680091764336,3.9299975145715e-002,-5.1519928338067e-002,0.60072657025547,0.29984596187281,9.1701284372754e-002,1.1491833017644e-002,-3.7656495186745e-003,
8.,0.50620707716762,0.3427321757527,0.15783808970725,3.9572800983335e-002,-4.6350143610914e-002,0.59611271250228,0.30270949509303,9.2938132822801e-002,1.1650621895892e-002,-3.4109623140004e-003,
9.,0.49945416232476,0.3435668039216,0.15881740661863,3.983093881689e-002,-4.1669311681879e-002,0.59184140714001,0.30534469654042,9.4099645725246e-002,1.1799961796256e-002,-3.0857112019301e-003,
10.,0.49328910428219,0.34432315923969,0.15974353202969,4.007553557843e-002,-3.7431331129998e-002,0.58788662085925,0.30777014393653,9.5190587592573e-002,1.1940436733589e-002,-2.7877891219455e-003,
11.,0.48765425414054,0.34501155964361,0.16062090001231,4.0307681434994e-002,-3.3594395231452e-002,0.584222847299,0.31000399747521,9.6215705843714e-002,1.2072629376604e-002,-2.5151799945307e-003,
12.,0.48249688636911,0.34564160506875,0.16145370087466,4.0528406961391e-002,-3.0120599273912e-002,0.58082541814652,0.31206376388356,9.717967005447e-002,1.2197113638383e-002,-2.2659657229345e-003,
13.,0.47776890585484,0.34622212209852,0.16224587322012,4.0738681703795e-002,-2.697558287728e-002,0.57767074056467,0.31396611801123,9.8087023368893e-002,1.2314448736269e-002,-2.0383306810619e-003,
14.,0.4734265518897,0.34676113723367,0.16300110124423,4.0939413894124e-002,-2.4128204261729e-002,0.57473646823275,0.31572677630206,9.8942144931743e-002,1.2425174580957e-002,-1.8305640475177e-003,
15.,0.46943010217273,0.34726587407844,0.16372281633355,4.1131451096896e-002,-2.1550243681612e-002,0.57200161426967,0.31736041563088,9.974922208728e-002,1.2529808342281e-002,-1.6410603301051e-003,
16.,0.46574357998726,0.34774276979777,0.16441420211197,4.1315581593507e-002,-1.9216133490507e-002,0.5694466146803,0.31888063063411,0.10051223105152,1.2628842035678e-002,-1.4683184016025e-003,
17.,0.46233446756131,0.34819750645936,0.1650782021698,4.1492536332742e-002,-1.7102712523219e-002,0.56705335085165,0.32029992272383,0.1012349247869,1.2722740976761e-002,-1.3109393391346e-003,
18.,0.45917342829845,0.34863505327651,0.16571752980437,4.1662991299649e-002,-1.5189002678968e-002,0.56480513915158,0.3216297143427,0.10192082687412,1.2811942959817e-002,-1.1676233282196e-003,
19.,0.4562340401421,0.34905971625647,0.16633467919367,4.1827570177217e-002,-1.3456005769451e-002,0.56268669496861,0.32288038259287,0.10257323027118,1.289685802776e-002,-1.0371658604161e-003,
20.,0.45349254186182,0.34947519228669,0.16693193751397,4.1986847196005e-002,-1.188651885848e-002,0.56068407767702,0.32406130706723,0.10319519996292,1.2977868714717e-002,-9.1845342188582e-004,
21.,0.45092759356846,0.34988462521927,0.16751139759539,4.214135008561e-002,-1.046496646873e-002,0.55878462210121,0.32518092745724,0.1037895786248,1.3055330656847e-002,-8.1045884009574e-004,
22.,0.44852005230769,0.3502906620154,0.16807497078552,4.2291563058634e-002,-9.1772481672512e-003,0.55697686114713,0.3262468072532,0.10435899454631,1.3129573481394e-002,-7.1223642803476e-004,
23.,0.44625276316896,0.35069550746644,0.16862439975858,4.2437929772398e-002,-8.010600166372e-003,0.55525044341315,0.32726570055373,0.10490587117546,1.3200901897771e-002,-6.2291704011012e-004,
24.,0.44411036599031,0.35110097640827,0.16916127106662,4.2580856226256e-002,-6.9534696914515e-003,0.55359604881302,0.3282436196375,0.1054324377538,1.3269596927174e-002,-5.417031314973e-004,
25.,0.44207911744539,0.35150854268437,0.16968702727984,4.2720713562994e-002,-5.9954009725929e-003,0.55200530455669,0.32918590150881,0.10594074060894,1.3335917218744e-002,-4.6786389318653e-004,
26.,0.44014672806426,0.35191938439319,0.1702029786056,4.2857840751672e-002,-5.1269318147297e-003,0.55047070324481,0.3300972721056,0.10643265475734,1.3400100410428e-002,-4.0073051817981e-004,
27.,0.43830221356329,0.35233442517941,0.17071031391079,4.2992547136584e-002,-4.3394997900678e-003,0.54898552433833,0.33098190725552,0.10690989554475,1.3462364501471e-002,-3.396916400762e-004,
