t,XA8,XB8,XC8,XD8,XE8,YA8,YB8,YC8,YD8,YE8,
1.,0.1999562145909,0.19999551028322,0.19999982349918,0.19999999930873,0.20004843774074,0.39019214463013,0.29270160119647,0.1951386087266,9.756939012759e-002,2.4398255319208e-002,
2.,0.19983843923749,0.19998309695143,0.19999933130431,0.19999999737535,0.20017906867703,0.39005307392096,0.29275148703688,0.19518349963,9.759207481908e-002,2.4419864593086e-002,
3.,0.1996572117077,0.19996344611321,0.19999854524064,0.19999999427841,0.20038072535237,0.3898391689514,0.29282774510928,0.1952527615698,9.7627088113226e-002,2.4453236256296e-002,
4.,0.19941545108929,0.19993645375629,0.19999745566774,0.19999998997274,0.20065057953189,0.38955397307988,0.29292874652419,0.19534541389734,9.7673944654408e-002,2.449792184418e-002,
5.,0.19911925743523,0.19990240236032,0.19999606859736,0.19999998447513,0.20098222378224,0.38920472610795,0.29305157987622,0.19545926279437,9.7731544979461e-002,2.4552886242004e-002,
6.,0.19877413626747,0.19986156321104,0.19999438995961,0.19999997780254,0.20136987541413,0.38879790023231,0.29319365347962,0.19559234181707,9.779890342537e-002,2.4617201045631e-002,
7.,0.1983850527241,0.19981419948249,0.19999242572956,0.1999999699726,0.20180830018207,0.38833929703768,0.29335265722584,0.19574288213603,9.7875133166045e-002,2.4690030434401e-002,
8.,0.19795648117005,0.19976056846898,0.19999018202051,0.19999996100396,0.20229276034858,0.38783411456192,0.29352653595917,0.19590929208147,9.7959435927467e-002,2.4770621469968e-002,
9.,0.19749245066924,0.19970092307707,0.19998766514687,0.19999995091652,0.20281896765751,0.38728700759141,0.2937134650754,0.19609013896901,9.8051092859501e-002,2.4858295504684e-002,
10.,0.19699658666122,0.19963551269348,0.19998488166048,0.1999999397316,0.20338304075353,0.38670214202263,0.29391182809342,0.19628413291237,9.8149456415587e-002,2.4952440555999e-002,
11.,0.19647214914137,0.1995645835455,0.19998183836415,0.19999992747194,0.20398146662833,0.38608324397325,0.29412019601245,0.19649011237527,9.825394311428e-002,2.5052504524743e-002,
12.,0.19592206760893,0.1994883786655,0.19997854230645,0.1999999141617,0.20461106571371,0.38543364420688,0.29433730831288,0.19670703125198,9.8364027075379e-002,2.5157989152886e-002,
