t,XA4,XB4,XC4,XD4,XE4,YA4,YB4,YC4,YD4,YE4,
1.,0.7828334650511,0.25957551348519,5.1808335035843e-002,3.2425797091996e-003,-9.745989328133e-002,0.78428337825144,0.19505256640814,2.5953827252017e-002,8.1220026596865e-004,-6.1019721775602e-003,
2.,0.76608133303238,0.26534067449492,5.3476789020878e-002,3.3514098051291e-003,-8.8250206353309e-002,0.77603781097274,0.20161070558783,2.7088986683368e-002,8.4884067260746e-004,-5.5863439165421e-003,
3.,0.75059356100357,0.27074685102395,5.5069309450426e-002,3.4554846330901e-003,-7.9865206111036e-002,0.7682003735814,0.20783993324487,2.8183293344012e-002,8.8422365222433e-004,-5.1078238225013e-003,
4.,0.7363602766389,0.27577628150827,5.6581195737564e-002,3.5545045028884e-003,-7.2272258387625e-002,0.76080345753175,0.21371244154394,2.9232136495263e-002,9.1820240022213e-004,-4.6662379711699e-003,
5.,0.72330036127528,0.28043551523683,5.8012651003764e-002,3.6484746011023e-003,-6.5397002116973e-002,0.75385172604419,0.21922322608931,3.0233675570509e-002,9.5071504750085e-004,-4.2593427515085e-003,
6.,0.71133416316272,0.28473579442419,5.936475711988e-002,3.7374537230652e-003,-5.9172168429855e-002,0.74734320834409,0.22437317072374,3.118684868349e-002,9.8172381582847e-004,-3.8849515671449e-003,
7.,0.70038348165646,0.28869232219865,6.0639374054036e-002,3.8215483630429e-003,-5.3536726272186e-002,0.74126994308359,0.22916845738327,3.2091321638134e-002,1.0112135318141e-003,-3.5409356368037e-003,
8.,0.69037208803675,0.29232331743916,6.1838998874217e-002,3.9009043558544e-003,-4.8435308705975e-002,0.73561896659984,0.23361968051524,3.2947398702471e-002,1.0391889667172e-003,-3.2252347842741e-003,
9.,0.68122622427386,0.29564913792467,6.2966631350012e-002,3.9756988869665e-003,-4.3817692435513e-002,0.73037330488032,0.23774096008303,3.3755929190596e-002,1.0656720348198e-003,-2.9358661887608e-003,
10.,0.67287504991627,0.29869149298016,6.4025649413592e-002,4.0461330647374e-003,-3.963832537476e-002,0.72551292727365,0.24154909092717,3.4518214049427e-002,1.0906989772178e-003,-2.6709312274676e-003,
11.,0.66525101722102,0.30147275851264,6.5019696697139e-002,4.1124251874082e-003,-3.5855897618204e-002,0.72101563006182,0.24506275699909,3.5235915850142e-002,1.1143176344928e-003,-2.4286205455423e-003,
12.,0.65829016351639,0.30401539994542,6.5952583423154e-002,4.1748047824769e-003,-3.2432951667435e-002,0.71685782805546,0.24830182980282,3.591097475133e-002,1.1365848871403e-003,-2.2072174967538e-003,
13.,0.65193231721319,0.30634150241875,6.6828201121552e-002,4.2335074492452e-003,-2.9335528202742e-002,0.71301524160671,0.25128676198274,3.6545532199676e-002,1.1575643188547e-003,-2.0051001079812e-003,
14.,0.64612121969588,0.30847240288248,6.7650451000813e-002,4.2887704975487e-003,-2.6532844076723e-002,0.70946347433525,0.25403807984401,3.7141863413453e-002,1.1773241362713e-003,-1.8207417289843e-003,
15.,0.64080456953216,0.31042841535878,6.8423185311515e-002,4.3408293470252e-003,-2.3996999549479e-002,0.70617848317225,0.25657597291756,3.7702319083867e-002,1.1959353604514e-003,-1.652710534124e-003,
16.,0.63593399817512,0.31222863858146,6.9150160699288e-002,4.3899146311382e-003,-2.1702712087003e-002,0.70313694699093,0.25891997451954,3.8229276242573e-002,1.2134702906628e-003,-1.4996680437095e-003,
17.,0.63146498780678,0.31389083423329,6.9835002332735e-002,4.4362499375166e-003,-1.9627074310329e-002,0.70031654321856,0.26108872450087,3.8725097879962e-002,1.2300012298946e-003,-1.3603668292823e-003,
18.,0.62735674243879,0.31543136388072,7.048117748825e-002,4.4800501097363e-003,-1.7749333917494e-002,0.69769614361621,0.2630998038415,3.9192100648243e-002,1.2455994537598e-003,-1.2336475597178e-003,
19.,0.62357202309885,0.3168651732197,7.1091977254742e-002,4.5215200341345e-003,-1.6050693607422e-002,0.69525594112425,0.26496963018009,3.9632529830388e-002,1.2603343995615e-003,-1.1184355342859e-003,
20.,0.62007695712587,0.31820581319015,7.1670505064981e-002,4.56085383735e-003,-1.4514129218356e-002,0.69297751956445,0.26671340353898,4.0048540682412e-002,1.2742730497918e-003,-1.0137368356317e-003,
21.,0.61684083047356,0.31946548871135,7.2219670846951e-002,4.5982344249033e-003,-1.3124224456773e-002,0.6908438773102,0.26834509218306,4.0442185244002e-002,1.2874794836782e-003,-9.1863422094084e-004,
22.,0.61383587064335,0.32065512709625,7.2742189701743e-002,4.6338332973322e-003,-1.1867020738676e-002,0.68883941499367,0.26987744954529,4.0815403744165e-002,1.3000145710809e-003,-8.3228285420464e-004,
23.,0.61103702655459,0.32178445951332,7.3240584140956e-002,4.6678105874209e-003,-1.0729880796285e-002,0.68694989608459,0.27132205430822,4.1170019789732e-002,1.311935784658e-003,-7.5390596719969e-004,
24.,0.60842175039815,0.32286211010743,7.3717189046503e-002,4.7003152693439e-003,-9.7013648214175e-003,0.68516238787732,0.2726893669331,4.1507738603315e-002,1.3232971083883e-003,-6.8279052212445e-004,
25.,0.60596978536348,0.32389568852088,7.4174158641973e-002,4.7314854976769e-003,-8.7711180240073e-003,0.68346518915332,0.27398879709446,4.1830147664389e-002,1.3341490230039e-003,-6.1828293517248e-004,
26.,0.60366296211024,0.32489188254777,7.4613474882698e-002,4.76144904093e-003,-7.9297685816403e-003,0.68184774960394,0.27522877755679,4.2138719195791e-002,1.3445385514283e-003,-5.5978490795067e-004,
27.,0.60148500598416,0.32585654850161,7.5036956778631e-002,4.7903237803774e-003,-7.1688350447752e-003,0.68030058503964,0.27641684098989,4.2434814023363e-002,1.354509349792e-003,-5.067494026827e-004,
28.,0.59942135625415,0.32679479758017,7.5446270258762e-002,4.8182182503975e-003,-6.4806423434815e-003,0.67881519148993,0.27755969705003,4.2719686415737e-002,1.3641018319237e-003,-4.5867678762175e-004,
29.,0.59745899806348,0.32771107708326,7.5842938267759e-002,4.8452322012884e-003,-5.8582456157944e-003,0.67738396051833,0.27866330775269,4.2994489582667e-002,1.3733533173166e-003,-4.1511117099603e-004,
30.,0.59558630732874,0.3286092457922,7.6228350855301e-002,4.8714571695873e-003,-5.2953611458217e-003,0.67600009742954,0.27973295973793,4.3260281573128e-002,1.3822981944449e-003,-3.7563693503985e-004,
31.,0.59379290847004,0.32949264317069,7.6603775077022e-002,4.8969770443584e-003,-4.7863037621081e-003,0.67465754352219,0.28077333249244,4.3518031368561e-002,1.3909680929225e-003,-3.3987547610609e-004,
32.,0.59206954459821,0.33036415231077,7.6970364574194e-002,4.9218686207702e-003,-4.3259301039501e-003,0.67335090312374,0.28178856195668,4.3768625012564e-002,1.3993920593892e-003,-3.0748215238025e-004,
33.,0.59040795960244,0.33122625674016,7.732916873854e-002,4.9462021346271e-003,-3.9095872157733e-003,0.6720753758208,0.28278229922655,4.4012871656668e-002,1.4075967331709e-003,-2.7814343719395e-004,
34.,0.58880079146199,0.3320810913423,7.7681141399998e-002,4.9700417734231e-003,-3.5330659777187e-003,0.67082669405144,0.28375776426966,4.4251509433387e-002,1.4156065187329e-003,-2.5157427321829e-004,
35.,0.58724147603372,0.3329304877297,7.8027149000172e-002,4.9934461610073e-003,-3.1925589245931e-003,0.66960106604446,0.28471779473025,4.4485211093349e-002,1.4234437527375e-003,-2.2751562079127e-004,
36.,0.58572416053314,0.33377601446482,7.8367978233496e-002,5.0164688141499e-003,-2.8846220456111e-003,0.66839512395962,0.28566489000457,4.4714589363831e-002,1.4311288641607e-003,-2.0573219218149e-004,
37.,0.58424362592105,0.33461901254995,7.8704343152961e-002,5.0391585702318e-003,-2.6061401941952e-003,0.66720587699327,0.28660125084064,4.4940202002254e-002,1.4386805264343e-003,-1.8601036259869e-004,
38.,0.58279521742243,0.33546062661411,7.9036891748235e-002,5.0615599859952e-003,-2.3542957707777e-003,0.66603066915617,0.28752881476022,4.5162556530791e-002,1.4461158009868e-003,-1.6815624816276e-004,
39.,0.58137478243409,0.3363018322183,7.9366212012084e-002,5.0837137078239e-003,-2.1265403722994e-003,0.66486714139691,0.28844928762404,4.5382114647918e-002,1.4534502718718e-003,-1.5199394073205e-004,
40.,0.57997861511649,0.33714345968271,7.9692837516565e-002,5.1056568144131e-003,-1.9205691301745e-003,0.66371319772942,0.28936417166865,4.5599296319955e-002,1.4606981714103e-003,-1.3736388943125e-004,
41.,0.57860340701032,0.33798621481658,8.0017252524222e-002,5.1274231329603e-003,-1.7342974840824e-003,0.66256697502145,0.29027479033947,4.5814483560951e-002,1.4678724969583e-003,-1.2412141882974e-004,
42.,0.57724620306687,0.33883069690351,8.0339896661712e-002,5.1490435301914e-003,-1.5658401622795e-003,0.66142681610879,0.29118231023313,4.6028023913005e-002,1.4749851190409e-003,-1.121353739733e-004,
43.,0.57590436253019,0.3396774142661,8.0661169184434e-002,5.1705461796456e-003,-1.4134921603719e-003,0.66029124591476,0.29208776044525,4.6240233641629e-002,1.4820468811863e-003,-1.0128688282482e-004,
44.,0.5745755241579,0.34052679770429,8.0981432860932e-002,5.1919568066988e-003,-1.2757115298241e-003,0.65915895027257,0.29299204960036,4.6451400662299e-002,1.4890676918602e-003,-9.1468227090589e-005,
45.,0.5732575753145,0.34137921207226,8.1301017505494e-002,5.2132989128184e-003,-1.1511038050695e-003,0.65802875716994,0.29389598081878,4.6661787215215e-002,1.4960566089354e-003,-8.258181286974e-005,
46.,0.57194862451572,0.34223496623134,8.1620223186499e-002,5.2345939805245e-003,-1.0384079140848e-003,0.65689962015679,0.2948002648536,4.6871632305508e-002,1.5030219171559e-003,-7.4539233062566e-005,
47.,0.57064697704439,0.34309432159002,8.1939323136915e-002,5.2558616604935e-003,-9.3648343181598e-004,0.65577060367969,0.29570553160919,4.7081153926027e-002,1.5099711990584e-003,-6.7260413970126e-005,
