t,YA1,YA2,YA3,YA4,YA5,YA6,YA7,YA8,
1.,0.90567389254135,0.87478295319912,0.83508877887787,0.78428337825144,0.71948637465104,0.63698802789121,0.53134705911745,0.39019214463013,
2.,0.9000113929258,0.86804392603265,0.82742321919834,0.77603781097274,0.71128671829412,0.62982635923149,0.52665764014109,0.39005307392096,
3.,0.89450678661553,0.86153806622544,0.82007848945299,0.7682003735814,0.7035558278616,0.62312247498135,0.52227748193665,0.3898391689514,
4.,0.88920064775838,0.8553072900368,0.81309412507778,0.76080345753175,0.69631424871616,0.61688292155948,0.51820351023869,0.38955397307988,
5.,0.8841214188864,0.84937628030286,0.8064868827463,0.75385172604419,0.68955222821441,0.61108628644308,0.51441488049737,0.38920472610795,
6.,0.8792909733708,0.84376242267324,0.80026608818725,0.74734320834409,0.68325529368204,0.60570915030246,0.51089096829653,0.38879790023231,
7.,0.87472449669643,0.83847595181539,0.79443406376,0.74126994308359,0.67740493774133,0.60072657025547,0.50761150740124,0.38833929703768,
8.,0.87043086941418,0.83352058273812,0.78898698798552,0.73561896659984,0.67197954493408,0.59611271250228,0.50455680778033,0.38783411456192,
9.,0.86641324244904,0.82889428938671,0.78391583562523,0.73037330488032,0.66695525937472,0.59184140714001,0.50170793033008,0.38728700759141,
10.,0.86266974394954,0.8245901682523,0.77920734198228,0.72551292727365,0.66230677142344,0.58788662085925,0.49904682084701,0.38670214202263,
11.,0.85919425952259,0.82059733114119,0.77484494439512,0.72101563006182,0.65800800940262,0.584222847299,0.49655640660218,0.38608324397325,
12.,0.85597723436515,0.81690178051171,0.77080966456789,0.71685782805546,0.65403272957847,0.58082541814652,0.49422065944458,0.38543364420688,
13.,0.85300645498542,0.81348723144333,0.76708090622035,0.71301524160671,0.65035500366733,0.57767074056467,0.49202462970519,0.38475631834285,
14.,0.85026777847941,0.81033585509243,0.76363715260472,0.70946347433525,0.64694960785105,0.57473646823275,0.48995445529998,0.38405392325203,
15.,0.84774578751112,0.8074289284587,0.76045655711014,0.70617848317225,0.64379232069344,0.57200161426967,0.48799735036669,0.38332882998503,
16.,0.84542435837464,0.80474738382104,0.75751742713625,0.70313694699093,0.64086013954181,0.5694466146803,0.48614157755284,0.38258315353823,
17.,0.84328713727203,0.80227225799732,0.75479860659553,0.70031654321856,0.63813142614662,0.56705335085165,0.48437640774164,0.38181877973135,
18.,0.84131792599265,0.7999850465906,0.75227976590815,0.69769614361621,0.63558599254212,0.56480513915158,0.48269207059636,0.38103738944482,
19.,0.83950098253363,0.79786797173229,0.7499416104061,0.69525594112425,0.63320513791126,0.56268669496861,0.48107969885967,0.38024048044548,
20.,0.83782124501638,0.79590417375877,0.74776601894366,0.69297751956445,0.63097164640324,0.56068407767702,0.47953126889047,0.3794293870114,
21.,0.83626448877986,0.79407783804698,0.74573612450338,0.6908438773102,0.62886975484971,0.55878462210121,0.47803953948143,0.37860529755202,
22.,0.83481742704756,0.79237426817467,0.74383634795938,0.68883941499367,0.62688509816959,0.55697686114713,0.47659799059172,0.37776927040573,
23.,0.83346776534655,0.79077991592577,0.74205239513831,0.68694989608459,0.62500463906659,0.55525044341315,0.47520076326147,0.37692224798427,
24.,0.83220421914547,0.78928237765395,0.74037122608678,0.68516238787732,0.62321658747865,0.55359604881302,0.47384260165335,0.37606506942123,
25.,0.8310165031759,0.78787036532118,0.73878100415009,0.68346518915332,0.62151031418252,0.55200530455669,0.47251879789335,0.37519848186961,
26.,0.82989529976116,0.78653365927645,0.73727103118685,0.68184774960394,0.61987626201582,0.55047070324481,0.47122514015584,0.37432315058274,
27.,0.82883221231258,0.78526304862082,0.73583167405157,0.68030058503964,0.61830585736411,0.54898552433833,0.46995786425422,0.37343966790126,
28.,0.82781970904018,0.78405026387724,0.73445428640835,0.67881519148993,0.61679142387283,0.54754375985977,0.46871360885323,0.37254856125876,
29.,0.82685106090898,0.78288790568001,0.73313112901011,0.67738396051833,0.61532609977585,0.54614004485792,0.46748937430713,0.3716503003086,
30.,0.82592027697865,0.78176937233079,0.73185529079131,0.67600009742954,0.61390375977358,0.54476959291348,0.46628248504502,0.37074530326502,
31.,0.82502203950039,0.78068878833832,0.73062061247184,0.67465754352219,0.61251894203023,0.54342813676857,0.46509055536443,0.36983394254273,
32.,0.82415164050826,0.77964093545815,0.72942161384312,0.67335090312374,0.61116678057858,0.54211187401838,0.46391145845408,0.3689165497712,
33.,0.82330492112326,0.77862118726536,0.72825342548944,0.6720753758208,0.60984294320842,0.54081741769958,0.46274329844151,0.36799342025187,
34.,0.82247821437534,0.77762544791148,0.7271117253735,0.67082669405144,0.6085435747584,0.53954175153869,0.46158438524727,0.3670648169198,
35.,0.8216682920255,0.77665009542303,0.72599268046839,0.66960106604446,0.60726524562078,0.53828218957834,0.46043321202362,0.36613097386477,
36.,0.82087231562404,0.77569192967685,0.72489289343651,0.66839512395962,0.60600490519389,0.53703633987392,0.45928843495721,0.36519209946095,
37.,0.82008779185807,0.77474812502516,0.72380935422499,0.66720587699327,0.60475983997074,0.53580207194219,0.45814885522256,0.36424837914892,
38.,0.8193125321092,0.77381618742753,0.72273939635809,0.66603066915617,0.60352763592683,0.53457748764425,0.45701340288323,0.36329997790922,
39.,0.8185446160511,0.77289391586959,0.7216806576488,0.66486714139691,0.60230614486142,0.53336089519355,0.45588112254967,0.3623470424621,
40.,0.81778235905635,0.77197936779848,0.72063104501891,0.66371319772942,0.60109345434869,0.53215078599308,0.45475116061643,0.36138970322432,
41.,0.81702428314677,0.77107082827856,0.71958870310129,0.66256697502145,0.59988786096582,0.53094581402362,0.45362275391503,0.36042807605054,
42.,0.81626909120324,0.77016678255926,0.71855198629634,0.66142681610879,0.59868784648138,0.52974477752368,0.45249521963284,0.35946226378341,
43.,0.81551564414731,0.76926589174818,0.71751943396202,0.66029124591476,0.5974920567067,0.52854660272219,0.45136794636187,0.35849235763412,
44.,0.81476294081148,0.76836697129134,0.71648974843075,0.65915895027257,0.5962992827345,0.52735032940516,0.45024038615414,0.35751843841242,
45.,0.81401010022695,0.76746897197713,0.71546177556459,0.65802875716994,0.59510844431124,0.5261550981173,0.44911204747255,0.356540577623,
46.,0.81325634607309,0.76657096319824,0.71443448758029,0.65689962015679,0.59391857511177,0.5249601388186,0.44798248893757,0.35555883844331,
47.,0.81250099305135,0.76567211822609,0.71340696789759,0.65577060367969,0.59272880970641,0.52376476083364,0.44685131378032,0.35457327659601,
48.,0.81174343496524,0.76477170127236,0.71237839778533,0.65464087012837,0.59153837203095,0.52256834394832,0.44571816492236,0.35358394112792,
49.,0.81098313430796,0.76386905613324,0.7113480446016,0.65350966840056,0.59034656518952,0.5213703305235,0.44458272061097,0.3525908751057,
50.,0.81021961317821,0.76296359623149,0.71031525144377,0.6523763238111,0.58915276243784,0.52017021850977,0.44344469054677,0.35159411623766,
51.,0.80945244536316,0.76205479589056,0.7092794280439,0.65124022918963,0.58795639921081,0.51896755525969,0.44230381244743,0.35059369742981,
