t,XA0,XA1,XA2,XA3,XA4,XA5,XA6,XA7,XA8,
1.,8.6013767179838e-002,0.95365970145398,0.90999610970062,0.85411016901154,0.7828334650511,0.69208528361529,0.57588021796415,0.4206098120281,0.1999562145909,
2.,0.16333276473595,0.93851426154476,0.89383148402702,0.83730753497886,0.76608133303238,0.67647493806348,0.56298934706405,0.41272432422189,0.19983843923749,
3.,0.23316938552424,0.92437402320379,0.8787684887541,0.82170256129535,0.75059356100357,0.66211687283529,0.55118738048612,0.40550523620235,0.1996572117077,
4.,0.29584569648374,0.9112526220916,0.86481814063668,0.80729840633604,0.7363602766389,0.64898581676655,0.54043846431368,0.39892397343899,0.19941545108929,
5.,0.35206339496053,0.89910681857256,0.85192848126035,0.79402980888803,0.72330036127528,0.63698782532681,0.53064927878653,0.39291810895816,0.19911925743523,
6.,0.4024598038009,0.88789200505305,0.84004603711846,0.78183086929098,0.71133416316272,0.62603340544519,0.52173340523867,0.38743103036802,0.19877413626747,
7.,0.44761335257685,0.87756159713793,0.82911552027699,0.77063498753294,0.70038348165646,0.61603727742201,0.51361070828235,0.38241127688245,0.1983850527241,
8.,0.48804856235462,0.8680672296212,0.81908027539333,0.76037545186909,0.69037208803675,0.60691857236177,0.50620707716762,0.37781211462737,0.19795648117005,
9.,0.52424060232095,0.85935915728705,0.80988285814942,0.75098607433002,0.68122622427386,0.59860098681569,0.49945416232476,0.37359114731222,0.19749245066924,
10.,0.55661947437262,0.85138678642802,0.80146567753099,0.7424018213515,0.67287504991627,0.59101288429566,0.49328910428219,0.36970995757537,0.19699658666122,
11.,0.58557387073974,0.84409927113345,0.79377164571277,0.73455939994614,0.66525101722102,0.58408733890704,0.48765425414054,0.36613377524872,0.19647214914137,
12.,0.61145474018696,0.83744611954294,0.78674479200474,0.72739777184107,0.65829016351639,0.57776212094123,0.48249688636911,0.36283116960763,0.19592206760893,
13.,0.63457859048446,0.8313777677668,0.78033081002152,0.72085857894651,0.65193231721319,0.57197962780026,0.47776890585484,0.35977376335626,0.19534897301955,
14.,0.65523054867251,0.8258460916614,0.77447751892492,0.7148864728285,0.64612121969588,0.56668676611575,0.4734265518897,0.35693596663696,0.19475522695829,
15.,0.67366719604405,0.82080483807395,0.76913522959053,0.70942934825884,0.64080456953216,0.56183479246601,0.46943010217273,0.3542947297529,0.19414294823285,
16.,0.69011919153564,0.81620996688227,0.764257014529,0.70443848636916,0.63593399817512,0.55737912082746,0.46574357998726,0.35182931357119,0.19351403707375,
17.,0.70479369510142,0.81201990284256,0.75979888630059,0.69986861658592,0.63146498780678,0.55327910498232,0.46233446756131,0.34952107674999,0.19287019711821,
18.,0.7178766013865,0.80819570189212,0.75571989314141,0.69567790862029,0.62735674243879,0.54949780370919,0.45917342829845,0.34735327903175,0.19221295534534,
19.,0.72953459337043,0.80470114030198,0.75198214284317,0.69182790663313,0.62357202309885,0.54600173586192,0.4562340401421,0.34531089988648,0.19154368012207,
20.,0.73991702540603,0.80150273721695,0.74855076692033,0.6882834176032,0.62007695712587,0.54276063152703,0.45349254186182,0.34338047179485,0.19086359751175,
21.,0.7491576450595,0.79856972199056,0.74539383709259,0.68501236518011,0.61684083047356,0.53974718445022,0.45092759356846,0.34154992744611,0.19017380598927,
22.,0.75737616323483,0.79587395764893,0.74248224541212,0.68198561914984,0.61383587064335,0.53693680991864,0.44852005230769,0.3398084601031,0.18947528969907,
23.,0.76467968214676,0.79338983109969,0.73978955823348,0.67917680927438,0.61103702655459,0.5343074113358,0.44625276316896,0.33814639636404,0.18876893038415,
24.,0.7711639907334,0.79109411959098,0.73729185286708,0.67656213083668,0.60842175039815,0.53183915786595,0.44411036599031,0.33655508053498,0.18805551810639,
25.,0.7769147370411,0.788965841616,0.7349675443278,0.67412014783135,0.60596978536348,0.52951427477507,0.44207911744539,0.33502676981928,0.18733576087014,
26.,0.78200848695792,0.78698609909694,0.73279720819838,0.67183159845718,0.60366296211024,0.52731684746214,0.44014672806426,0.33355453953386,0.18661029325318,
27.,0.78651367842013,0.78513791636654,0.73076340434037,0.66967920642725,0.60148500598416,0.52523263965581,0.43830221356329,0.33213219757503,0.18587968414101,
28.,0.79049147987998,0.783406080259,0.72885050504322,0.66764750063296,0.59942135625415,0.52324892583978,0.43653575973259,0.33075420737868,0.1851444436528,
29.,0.79399656141648,0.78177698455806,0.72704453022117,0.66572264488021,0.59745899806348,0.52135433765376,0.4348386000479,0.32941561864952,0.18440502933993,
30.,0.79707778641314,0.78023848114166,0.72533299144823,0.66389227875029,0.59558630732874,0.51953872378262,0.43320290512732,0.32811200516931,0.18366185173088,
31.,0.79977883123286,0.77877973940894,0.72370474595581,0.66214537011119,0.59379290847004,0.51779302268221,0.43162168313765,0.32683940903379,0.1829152792895,
32.,0.8021387398075,0.77739111496574,0.72214986118921,0.66047207939789,0.59206954459821,0.51610914738199,0.43008869026126,0.3255942907101,0.18216564284756,
33.,0.80419241954045,0.77606402806508,0.72065949011157,0.65886363547607,0.59040795960244,0.51447988154272,0.42859835035884,0.32437348435024,0.18141323956654,
34.,0.8059710844071,0.77479085193039,0.71922575713861,0.65731222268434,0.58880079146199,0.51289878592031,0.42714568299975,0.32317415783953,0.18065833647816,
35.,0.80750265063815,0.7735648108162,0.7178416543661,0.65581087849977,0.58724147603372,0.51136011438704,0.42572623907685,0.32199377710211,0.17990117364841,
36.,0.80881208989203,0.7723798874644,0.71650094760002,0.65435340117544,0.58572416053314,0.50985873868118,0.42433604327279,0.32083007422691,0.17914196700497,
37.,0.80992174436854,0.77123073948091,0.71519809160072,0.65293426664583,0.58424362592105,0.50839008108964,0.42297154269805,0.31968101901705,0.17838091086419,
38.,0.81085160789098,0.77011262407321,0.71392815389682,0.6515485539747,0.58279521742243,0.5069500543116,0.42162956107447,0.31854479360307,0.17761818018963,
39.,0.81161957658805,0.76902133054307,0.71268674650021,0.65019187862312,0.58137478243409,0.50553500779943,0.42030725789117,0.31741976979484,0.17685393261104,
40.,0.81224167244226,0.76795311991126,0.71146996485372,0.64886033283529,0.57997861511649,0.50414167992532,0.419002092011,0.31630448887968,0.17608831022956,
41.,0.81273224263685,0.76690467105433,0.71027433335933,0.6475504324715,0.57860340701032,0.5027671553739,0.41771178925445,0.31519764360351,0.17532144123208,
42.,0.81310413732768,0.76587303275254,0.70909675686332,0.64625906965703,0.57724620306687,0.5014088272134,0.41643431353347,0.3140980620991,0.17455344133524,
